,domain,status
0,lequipe.fr,subscription
1,actu.fr,subscription
2,bild.de,subscription
3,welt.de,subscription
4,repubblica.it,subscription
5,gazzetta.it,subscription
6,spiegel.de,subscription
7,t-online.de,subscription
8,lemonde.fr,subscription
9,programme-tv.net,subscription
10,corriere.it,subscription
11,entrepreneur.com,hard_to_reject
12,gitlab.com,hard_to_reject
13,fanpage.it,hard_to_reject
14,mi.com,hard_to_reject
15,healthline.com,hard_to_reject
16,latamairlines.com,hard_to_reject
17,webmd.com,hard_to_reject
18,forebet.com,hard_to_reject
19,dailymotion.com,hard_to_reject
20,studocu.com,hard_to_reject
21,ft.com,hard_to_reject
22,theverge.com,hard_to_reject
23,xosodaiphat.com,hard_to_reject
24,nhs.uk,hard_to_reject
25,snaptik.app,hard_to_reject
26,sophos.com,hard_to_reject
27,columbia.edu,hard_to_reject
28,service-now.com,hard_to_reject
29,furaffinity.net,hard_to_reject
30,beboo.ru,hard_to_reject
31,onlyfans.com,hard_to_reject
32,credit-agricole.fr,hard_to_reject
33,idnes.cz,hard_to_reject
34,sciencemag.org,hard_to_reject
35,nu.nl,hard_to_reject
36,mangabuddy.com,hard_to_reject
37,doubleverify.com,hard_to_reject
38,mts.ru,hard_to_reject
39,wired.com,hard_to_reject
40,ucla.edu,hard_to_reject
41,mercadolivre.com.br,hard_to_reject
42,opera.com,hard_to_reject
43,plos.org,hard_to_reject
44,mediafire.com,hard_to_reject
45,vidoomy.com,hard_to_reject
46,timesofindia.com,hard_to_reject
47,idealista.com,hard_to_reject
48,tmohentai.com,hard_to_reject
49,xiaomi.com,hard_to_reject
50,pornhub.com,hard_to_reject
51,doubleclick.net,hard_to_reject
52,mundodeportivo.com,hard_to_reject
53,sberbank.ru,hard_to_reject
54,leroymerlin.fr,hard_to_reject
55,eltiempo.es,hard_to_reject
56,gartner.com,hard_to_reject
57,yandex.com,hard_to_reject
58,sky.com,hard_to_reject
59,bbb.org,hard_to_reject
60,thelancet.com,hard_to_reject
61,qualtrics.com,hard_to_reject
62,newyorker.com,hard_to_reject
63,canonical.com,hard_to_reject
64,cdnvideo.ru,hard_to_reject
65,ilmeteo.it,hard_to_reject
66,zoho.com,hard_to_reject
67,symantec.com,hard_to_reject
68,amarujala.com,hard_to_reject
69,fandom.com,hard_to_reject
70,geny.com,hard_to_reject
71,name.com,hard_to_reject
72,indiatimes.com,hard_to_reject
73,connatix.com,hard_to_reject
74,xoso.com.vn,hard_to_reject
75,telegraaf.nl,hard_to_reject
76,theconversation.com,hard_to_reject
77,marktplaats.nl,hard_to_reject
78,businesswire.com,hard_to_reject
79,ad.nl,hard_to_reject
80,skipthegames.com,hard_to_reject
81,braze.com,hard_to_reject
82,nbcnews.com,hard_to_reject
83,steamcommunity.com,hard_to_reject
84,detik.com,hard_to_reject
85,bbc.com,hard_to_reject
86,fanfiction.net,hard_to_reject
87,cronista.com,hard_to_reject
88,pusher.com,hard_to_reject
89,sharethrough.com,hard_to_reject
90,onesignal.com,hard_to_reject
91,asos.com,hard_to_reject
92,24h.com.vn,hard_to_reject
93,amazon.co.uk,hard_to_reject
94,jstor.org,hard_to_reject
95,sport.es,hard_to_reject
96,dan.com,hard_to_reject
97,eyeota.net,hard_to_reject
98,eset.com,hard_to_reject
99,infobae.com,hard_to_reject
100,evernote.com,hard_to_reject
101,subito.it,hard_to_reject
102,launchdarkly.com,hard_to_reject
103,spotify.com,hard_to_reject
104,amazon.in,hard_to_reject
105,figma.com,hard_to_reject
106,rayjump.com,hard_to_reject
107,hln.be,hard_to_reject
108,accuweather.com,hard_to_reject
109,ok.ru,hard_to_reject
110,samsungknox.com,hard_to_reject
111,eenadu.net,hard_to_reject
112,listcrawler.eu,hard_to_reject
113,amazonaws.com.cn,hard_to_reject
114,lanacion.com.ar,hard_to_reject
115,weebly.com,hard_to_reject
116,sendbird.com,hard_to_reject
117,snapinsta.app,hard_to_reject
118,skroutz.gr,hard_to_reject
119,googledomains.com,hard_to_reject
120,wp.com,hard_to_reject
121,bfmtv.com,hard_to_reject
122,bit.ly,hard_to_reject
123,gravatar.com,hard_to_reject
124,haberler.com,hard_to_reject
125,usnews.com,hard_to_reject
126,staseraintv.com,hard_to_reject
127,warnerbros.com,hard_to_reject
128,synology.com,hard_to_reject
129,innovid.com,hard_to_reject
130,conectate.com.do,hard_to_reject
131,tandfonline.com,hard_to_reject
132,xhamster2.com,hard_to_reject
133,sagepub.com,hard_to_reject
134,cardgames.io,hard_to_reject
135,w3schools.com,hard_to_reject
136,acronis.com,hard_to_reject
137,notamedia.ru,hard_to_reject
138,ria.com,hard_to_reject
139,terra.com.br,hard_to_reject
140,cnnindonesia.com,hard_to_reject
141,ameba.jp,hard_to_reject
142,doubleclick.com,hard_to_reject
143,themeisle.com,hard_to_reject
144,xhtab3.com,hard_to_reject
145,nginx.com,hard_to_reject
146,brainly.co.id,hard_to_reject
147,quizlet.com,hard_to_reject
148,vox.com,hard_to_reject
149,wordpress.com,hard_to_reject
150,sedo.com,hard_to_reject
151,cardmarket.com,hard_to_reject
152,digicert.com,hard_to_reject
153,matterport.com,hard_to_reject
154,jamanetwork.com,hard_to_reject
155,ynet.co.il,hard_to_reject
156,argos.co.uk,hard_to_reject
157,elcorteingles.es,hard_to_reject
158,pornhub.org,hard_to_reject
159,tumblr.com,hard_to_reject
160,etsy.com,hard_to_reject
161,xhcdn.com,hard_to_reject
162,olx.pl,hard_to_reject
163,wuxiap.com,hard_to_reject
164,nexusmods.com,hard_to_reject
165,parsely.com,hard_to_reject
166,medicalnewstoday.com,hard_to_reject
167,utorrent.com,hard_to_reject
168,ui.com,hard_to_reject
169,sex.com,hard_to_reject
170,ya.ru,hard_to_reject
171,uol.com.br,hard_to_reject
172,mediaexpert.pl,hard_to_reject
173,destacamos.com,hard_to_reject
174,wunderground.com,hard_to_reject
175,motherless.com,hard_to_reject
176,ubuntu.com,hard_to_reject
177,gsmarena.com,hard_to_reject
178,clarin.com,hard_to_reject
179,n-able.com,hard_to_reject
180,kooora.com,hard_to_reject
181,blic.rs,hard_to_reject
182,aliexpress.com,hard_to_reject
183,fmkorea.com,hard_to_reject
184,amazon.fr,hard_to_reject
185,genius.com,hard_to_reject
186,ring.com,hard_to_reject
187,xhamster.desi,hard_to_reject
188,mynet.com,hard_to_reject
189,lectortmo.com,hard_to_reject
190,starbucks.com,hard_to_reject
191,teamviewer.com,hard_to_reject
192,schwab.com,hard_to_reject
193,fastcompany.com,hard_to_reject
194,apkcombo.com,hard_to_reject
195,ox.ac.uk,hard_to_reject
196,themeforest.net,hard_to_reject
197,vice.com,hard_to_reject
198,google-analytics.com,hard_to_reject
199,nike.com,hard_to_reject
200,mercadolibre.com.mx,hard_to_reject
201,coolmathgames.com,hard_to_reject
202,az24.vn,hard_to_reject
203,site777.jp,hard_to_reject
204,worldbank.org,hard_to_reject
205,ilovepdf.com,hard_to_reject
206,cpanel.net,hard_to_reject
207,curseforge.com,hard_to_reject
208,twitch.tv,hard_to_reject
209,intercom.io,hard_to_reject
210,googleblog.com,hard_to_reject
211,arstechnica.com,hard_to_reject
212,bitly.com,hard_to_reject
213,reverso.net,hard_to_reject
214,asu.edu,hard_to_reject
215,pki.goog,hard_to_reject
216,3bmeteo.com,hard_to_reject
217,independent.co.uk,hard_to_reject
218,abc.net.au,hard_to_reject
219,sourceforge.net,hard_to_reject
220,wisc.edu,hard_to_reject
221,fatalmodel.com,hard_to_reject
222,duolingo.com,hard_to_reject
223,istockphoto.com,hard_to_reject
224,fortune.com,hard_to_reject
225,smartthings.com,hard_to_reject
226,globo.com,hard_to_reject
227,science.org,hard_to_reject
228,fitbit.com,hard_to_reject
229,peacocktv.com,hard_to_reject
230,climatempo.com.br,hard_to_reject
231,hbr.org,hard_to_reject
232,xing.com,hard_to_reject
233,bloomberg.com,hard_to_reject
234,ssstik.io,hard_to_reject
235,xhamster40.desi,hard_to_reject
236,tp-link.com,hard_to_reject
237,elsevier.com,hard_to_reject
238,pravda.com.ua,hard_to_reject
239,squareup.com,hard_to_reject
240,admanmedia.com,hard_to_reject
241,rt.com,hard_to_reject
242,thetimes.co.uk,hard_to_reject
243,datto.com,hard_to_reject
244,mercadolibre.com.ar,hard_to_reject
245,fc2.com,hard_to_reject
246,taboola.com,hard_to_reject
247,bazaarvoice.com,hard_to_reject
248,sectigo.com,hard_to_reject
249,weather.com,hard_to_reject
250,elegantthemes.com,hard_to_reject
251,yandex.net,hard_to_reject
252,xhamster1.desi,hard_to_reject
253,uisp.com,hard_to_reject
254,cdiscount.com,hard_to_reject
255,wellsfargo.com,hard_to_reject
256,20minutos.es,hard_to_reject
257,staples.com,hard_to_reject
258,ouest-france.fr,hard_to_reject
259,xhamster.com,hard_to_reject
260,cloudinary.com,hard_to_reject
261,liquipedia.net,hard_to_reject
262,europa.eu,hard_to_reject
263,netgear.com,hard_to_reject
264,mparticle.com,hard_to_reject
265,gizmodo.com,hard_to_reject
266,grserver.gr,hard_to_reject
267,mlb.com,hard_to_reject
