id,domain,prev_rank
0,mannheim24.de,85296
1,fuldaerzeitung.de,66240
2,falk.de,80952
3,mz-web.de,77947
4,motscroises.fr,83015
5,jobstreet.com.sg,53728
6,24auto.de,77044
7,donnerwetter.de,59813
8,heidelberg24.de,73065
9,forzaroma.info,76397
10,finanzfrage.net,95149
11,hexus.net,65789
12,petbook.de,72381
13,sportnews.bz,74702
14,gutekueche.de,68295
15,esquire.de,91610
16,pixelcatsend.com,98343
17,chiemgau24.de,75461
18,24garten.de,70257
19,sciencebusiness.net,98680
20,buzzfeed.de,64266
21,lagazettedescommunes.com,68166
22,thepopverse.com,62585
23,bcv.ch,82947
24,transfermarkt.pt,78441
25,klantenvertellen.nl,88159
26,cookiehub.eu,98699
27,astroportal.com,79562
28,afreeca.co.kr,96259
29,lemoniteur.fr,61291
30,flugrevue.de,70662
31,stylebook.de,98087
32,automoto.it,67806
33,fcbinside.de,70341
34,woxikon.de,85200
35,statarea.com,55305
36,rosenheim24.de,59353
37,selbst.de,57767
38,pianetamilan.it,76002
39,twitterperlen.de,71252
40,gladbachlive.de,83053
41,promobil.de,96697
42,stol.it,50781
43,macg.co,53838
44,eat.de,82156
45,eurogamer.pt,66374
46,boersennews.de,56749
47,nordlittoral.fr,61390
48,bingplaces.com,73539
49,meineorte.com,90121
50,cesoirtv.com,80878
51,gentside.com,76028
52,n24.de,69050
53,ilmilanista.it,84153
54,fussballfieber.de,75632
55,einfach-tasty.de,79849
56,transfermarkt.at,65920
57,anime2you.de,60986
58,btc-echo.de,57821
59,medimo.nl,71729
60,urbia.de,52928
61,transfermarkt.co,86266
62,backenmachtgluecklich.de,58408
63,lsa-conso.fr,83248
64,tnlcommunityfund.org.uk,89866
65,ln-online.de,67607
66,cittaceleste.it,79916
67,xoom.it,96871
68,violanews.com,76488
69,rundschau-online.de,62702
70,aerotelegraph.com,56033
71,formel1.de,51122
72,sz-online.de,80284
73,ovb-online.de,99582
74,kreuzwortraetsel.de,82255
75,schoener-wohnen.de,92272
76,uniserver.nl,97328
77,reggionline.com,90011
78,beauxarts.com,57225
79,achgut.com,88923
80,modekoninginmaxima.nl,85265
81,spieletipps.de,59765
82,stylevamp.de,69156
83,menshealth.de,99932
84,lest-eclair.fr,61716
85,lunion.fr,50254
86,vespa.com,64997
87,hkbn.net,69718
88,fitbook.de,96369
89,myblog.it,69574
90,macwelt.de,99084
91,deutsche-apotheker-zeitung.de,53657
92,instyle.de,51440
93,dicebreaker.com,68460
94,crypto-insiders.nl,76476
95,allgaeuer-zeitung.de,61280
96,quizshow-trainingslager.de,84417
97,techbook.de,84753
98,eurogamer.pl,68587
99,landtiere.de,72698
100,travelbook.de,70119
101,transfermarkt.mx,82570
102,climate-data.org,74582
103,atlantico.fr,55882
104,news38.de,65468
105,op-online.de,73676
106,sosfanta.com,79086
107,11freunde.de,93012
108,transfermarkt.fr,65419
109,24rhein.de,76539
110,intigriti.net,97617
111,echo24.de,71649
112,unsere-helden.com,67570
113,passwordsgenerator.net,92177
114,myhomebook.de,56330
115,werstreamt.es,50018
116,gewinn-portal.de,88938
117,transfermarkt.world,60092
118,transfermarkt.nl,68467
119,unnuetzes.com,68852
120,soester-anzeiger.de,67128
121,centrepresseaveyron.fr,66934
122,telepolis.de,53927
123,come-on.de,60501
124,desired.de,50042
125,toronews.net,79468
126,salzburg24.at,52097
127,vip.de,54423
128,tvdigital.de,57164
129,transfermarkt.com.ar,82834
130,nn.de,62323
131,mannheimer-morgen.de,90552
132,transfermarkt.co.in,69901
133,farmacialoreto.it,77104
134,deraktionaer.de,51174
135,buffed.de,50462
