,domain,status
0,gazzetta.it,subscription
1,t-online.de,subscription
2,programme-tv.net,subscription
3,steamcommunity.com,subscription
4,linode.com,subscription
5,welt.de,subscription
6,spiegel.de,subscription
7,lequipe.fr,subscription
8,lemonde.fr,subscription
9,bild.de,subscription
10,repubblica.it,subscription
11,corriere.it,subscription
12,mts.ru,hard_to_reject
13,reverso.net,hard_to_reject
14,squareup.com,hard_to_reject
15,24h.com.vn,hard_to_reject
16,ouest-france.fr,hard_to_reject
17,timesofindia.com,hard_to_reject
18,bitly.com,hard_to_reject
19,wunderground.com,hard_to_reject
20,cronista.com,hard_to_reject
21,hbr.org,hard_to_reject
22,terra.com.br,hard_to_reject
23,kooora.com,hard_to_reject
24,elcorteingles.es,hard_to_reject
25,themeisle.com,hard_to_reject
26,ok.ru,hard_to_reject
27,cdiscount.com,hard_to_reject
28,apkcombo.com,hard_to_reject
29,innovid.com,hard_to_reject
30,xhamster40.desi,hard_to_reject
31,infobae.com,hard_to_reject
32,uisp.com,hard_to_reject
33,whatsapp.net,hard_to_reject
34,utorrent.com,hard_to_reject
35,amazonvideo.com,hard_to_reject
36,xhamster1.desi,hard_to_reject
37,xhtab3.com,hard_to_reject
38,etsy.com,hard_to_reject
39,tp-link.com,hard_to_reject
40,cloudinary.com,hard_to_reject
41,bit.ly,hard_to_reject
42,xiaomi.net,hard_to_reject
43,ubi.com,hard_to_reject
44,ubuntu.com,hard_to_reject
45,curseforge.com,hard_to_reject
46,globo.com,hard_to_reject
47,gartner.com,hard_to_reject
48,taboola.com,hard_to_reject
49,publi24.ro,hard_to_reject
50,fanpage.it,hard_to_reject
51,3bmeteo.com,hard_to_reject
52,netgear.com,hard_to_reject
53,ibm.com,hard_to_reject
54,warnerbros.com,hard_to_reject
55,pornhub.org,hard_to_reject
56,sharethrough.com,hard_to_reject
57,accuweather.com,hard_to_reject
58,ubnt.com,hard_to_reject
59,medicalnewstoday.com,hard_to_reject
60,hln.be,hard_to_reject
61,staples.com,hard_to_reject
62,ria.com,hard_to_reject
63,studocu.com,hard_to_reject
64,independent.co.uk,hard_to_reject
65,climatempo.com.br,hard_to_reject
66,newyorker.com,hard_to_reject
67,figma.com,hard_to_reject
68,mi.com,hard_to_reject
69,sex.com,hard_to_reject
70,istockphoto.com,hard_to_reject
71,pki.goog,hard_to_reject
72,listcrawler.eu,hard_to_reject
73,xhamster2.com,hard_to_reject
74,entrepreneur.com,hard_to_reject
75,idealista.com,hard_to_reject
76,notamedia.ru,hard_to_reject
77,eyeota.net,hard_to_reject
78,weather.com,hard_to_reject
79,gitlab.com,hard_to_reject
80,ilovepdf.com,hard_to_reject
81,ssstik.io,hard_to_reject
82,forebet.com,hard_to_reject
83,geny.com,hard_to_reject
84,sedo.com,hard_to_reject
85,singular.net,hard_to_reject
86,paloaltonetworks.com,hard_to_reject
87,mundodeportivo.com,hard_to_reject
88,ad.nl,hard_to_reject
89,zoho.com,hard_to_reject
90,kleinanzeigen.de,hard_to_reject
91,pusher.com,hard_to_reject
92,jamanetwork.com,hard_to_reject
93,techtarget.com,hard_to_reject
94,genius.com,hard_to_reject
95,whatsapp.com,hard_to_reject
96,theverge.com,hard_to_reject
97,mediafire.com,hard_to_reject
98,launchdarkly.com,hard_to_reject
99,amzn.to,hard_to_reject
100,nu.nl,hard_to_reject
